,shortcode,post_type,username,like,comment,object_1,object_2,object_3,object_4,object_5,object_6,object,id,category_name,follower,following,ar_effect,type_business,type_professional,verified,reel_count,reel_avg_view,reel_avg_comment,reel_avg_like,reel_avg_duration,reel_frequency,media_count,media_avg_comment,media_avg_like,media_frequency
702,CrbVuxtrJ8z,GraphImage,bellanaijaonline,62,2,1 person,poster,magazine,text,No Object,No Object,"web_site, website, internet_site, site",634723463,Entertainment website,2103931,6888,False,True,True,True,19328,2252.416667,2.0,99.25,2274.898167,12.10426248,93707,12.83333333,781.8333333,0.064456019
703,CrbOVU4oAap,GraphImage,bellanaijaonline,54,3,1 person,poster,magazine,text,No Object,No Object,"web_site, website, internet_site, site",634723463,Entertainment website,2103931,6888,False,True,True,True,19328,2252.416667,2.0,99.25,2274.898167,12.10426248,93707,12.83333333,781.8333333,0.064456019
704,CrdEx7vPu59,GraphImage,3meed_news,96,7,1 person,pie,telescope,No Object,No Object,No Object,"web_site, website, internet_site, site",241148014,Media/news company,2018280,30,False,True,True,True,13668,39515.0,60.33333333,2022.416667,47.46375,6.55780415,85387,79.33333333,971.6666667,0.063171296
705,CrcyPbjvZup,GraphImage,3meed_news,2243,247,pie,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",241148014,Media/news company,2018280,30,False,True,True,True,13668,39515.0,60.33333333,2022.416667,47.46375,6.55780415,85387,79.33333333,971.6666667,0.063171296
706,Crcsa8gv-bg,GraphImage,3meed_news,116,4,car,text,No Object,No Object,No Object,No Object,menu,241148014,Media/news company,2018280,30,False,True,True,True,13668,39515.0,60.33333333,2022.416667,47.46375,6.55780415,85387,79.33333333,971.6666667,0.063171296
707,Crcr4OZPXfr,GraphImage,3meed_news,772,41,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",241148014,Media/news company,2018280,30,False,True,True,True,13668,39515.0,60.33333333,2022.416667,47.46375,6.55780415,85387,79.33333333,971.6666667,0.063171296
708,CrbrRkFBPad,GraphImage,3meed_news,1944,145,airplane,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",241148014,Media/news company,2018280,30,False,True,True,True,13668,39515.0,60.33333333,2022.416667,47.46375,6.55780415,85387,79.33333333,971.6666667,0.063171296
709,CrbU6-lvtp7,GraphImage,3meed_news,2715,104,aircraft,text,No Object,No Object,No Object,No Object,airliner,241148014,Media/news company,2018280,30,False,True,True,True,13668,39515.0,60.33333333,2022.416667,47.46375,6.55780415,85387,79.33333333,971.6666667,0.063171296
710,CraeQj7hP71,GraphImage,melodia_musik,16,0,No Object,No Object,No Object,No Object,No Object,No Object,electric_guitar,401619695,Shopping & retail,170390,2522,False,True,True,False,12860,1135.0,0.5,40.5,1135.632167,12.11289567,82582,2.916666667,287.9166667,-1.159504218
711,CraWyQJhrag,GraphImage,melodia_musik,66,2,1 person,piano,No Object,No Object,No Object,No Object,desktop_computer,401619695,Shopping & retail,170390,2522,False,True,True,False,12860,1135.0,0.5,40.5,1135.632167,12.11289567,82582,2.916666667,287.9166667,-1.159504218
712,Crcx9N3JeG6,GraphImage,aboutcirebonid,101,0,11 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1183160492,News & media website,293859,5361,False,False,True,False,10334,11572.08333,9.916666667,553.0,94.68883333,10.04949182,83356,2.0,336.9166667,0.084511986
713,CrcspkjL5Zr,GraphImage,aboutcirebonid,82,3,1 person,poster,text,No Object,No Object,No Object,"tobacco_shop, tobacconist_shop, tobacconist",1183160492,News & media website,293859,5361,False,False,True,False,10334,11572.08333,9.916666667,553.0,94.68883333,10.04949182,83356,2.0,336.9166667,0.084511986
714,CrcsEs8p6lh,GraphImage,aboutcirebonid,13,0,sedan,card,poster,minivan,No Object,No Object,"web_site, website, internet_site, site",1183160492,News & media website,293859,5361,False,False,True,False,10334,11572.08333,9.916666667,553.0,94.68883333,10.04949182,83356,2.0,336.9166667,0.084511986
715,CrckKn1r-4x,GraphSidecar,aboutcirebonid,105,0,10 people,terminal,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1183160492,News & media website,293859,5361,False,False,True,False,10334,11572.08333,9.916666667,553.0,94.68883333,10.04949182,83356,2.0,336.9166667,0.084511986
716,CrcWby8sBDm,GraphSidecar,aboutcirebonid,51,0,5 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1183160492,News & media website,293859,5361,False,False,True,False,10334,11572.08333,9.916666667,553.0,94.68883333,10.04949182,83356,2.0,336.9166667,0.084511986
717,CrcJ4jttQNT,GraphImage,aboutcirebonid,73,2,1 person,riding on a horse,horse,pony,No Object,No Object,"horse_cart, horse-cart",1183160492,News & media website,293859,5361,False,False,True,False,10334,11572.08333,9.916666667,553.0,94.68883333,10.04949182,83356,2.0,336.9166667,0.084511986
718,CrbyOh0vad_,GraphImage,aboutcirebonid,110,0,1 person,poster,text,No Object,No Object,No Object,menu,1183160492,News & media website,293859,5361,False,False,True,False,10334,11572.08333,9.916666667,553.0,94.68883333,10.04949182,83356,2.0,336.9166667,0.084511986
719,Crc7sLRO0o-,GraphImage,infodenpasar,458,4,10 people,terminal,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1945961331,Media/news company,1084564,632,False,False,True,False,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
720,CrcyOjmrvyv,GraphImage,infodenpasar,178,1,wafer,text,No Object,No Object,No Object,No Object,"book_jacket, dust_cover, dust_jacket, dust_wrapper",1945961331,Media/news company,1084564,632,False,False,True,False,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
721,Crcsg9XrcSW,GraphImage,infodenpasar,59,0,poster,magazine,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1945961331,Media/news company,1084564,632,False,False,True,False,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
722,Crcj3Ner-1k,GraphSidecar,infodenpasar,91,1,3 people,terminal,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1945961331,Media/news company,1084564,632,False,False,True,False,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
723,CrceHu0LoDK,GraphImage,infodenpasar,2509,31,2 people,slow loris,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1945961331,Media/news company,1084564,632,False,False,True,False,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
724,CrcRVk2PnHd,GraphImage,infodenpasar,472,0,1 person,slow loris,text,No Object,No Object,No Object,"web_site, website, internet_site, site",1945961331,Media/news company,1084564,632,False,False,True,False,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
725,CrcNCfdvlIn,GraphImage,infodenpasar,103,0,2 people,text,No Object,No Object,No Object,No Object,maillot,1945961331,Media/news company,1084564,632,False,False,True,False,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
726,CrcIZlQvJYF,GraphImage,infodenpasar,4105,25,map,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1945961331,Media/news company,1084564,632,False,False,True,False,10857,150382.9167,186.6666667,8637.416667,18.94416667,0.895698743,87911,5.5,817.1666667,0.03078406
727,Crc5gE_ooBj,GraphImage,radiofarda,2318,51,1 person,oil refinery,No Object,No Object,No Object,No Object,"ballplayer, baseball_player",27817698,Media/news company,3716526,6,False,True,True,True,27302,120782.8333,373.75,13217.5,48.80391667,0.094954778,85824,63.66666667,3503.0,0.02223702
728,Crc1VFHons6,GraphImage,radiofarda,1493,20,2 people,military uniform,No Object,No Object,No Object,No Object,"bookshop, bookstore, bookstall",27817698,Media/news company,3716526,6,False,True,True,True,27302,120782.8333,373.75,13217.5,48.80391667,0.094954778,85824,63.66666667,3503.0,0.02223702
729,CrcqH5NITit,GraphImage,radiofarda,4666,72,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",27817698,Media/news company,3716526,6,False,True,True,True,27302,120782.8333,373.75,13217.5,48.80391667,0.094954778,85824,63.66666667,3503.0,0.02223702
730,CrcX5jrMTz_,GraphImage,radiofarda,9180,147,3 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",27817698,Media/news company,3716526,6,False,True,True,True,27302,120782.8333,373.75,13217.5,48.80391667,0.094954778,85824,63.66666667,3503.0,0.02223702
731,CrdFOZsrq1b,GraphSidecar,instantbollywood,206,73,2 people,poster,concert,text,No Object,No Object,"web_site, website, internet_site, site",181436401,Entertainment website,14165680,505,False,False,True,True,4067,247920.0,145.3333333,22202.75,128.9718333,11.17746958,76943,747.0833333,99906.0,-0.104556961
732,Crc31MOO_YK,GraphImage,instantbollywood,36532,359,1 person,phone,tablet,text,No Object,No Object,"web_site, website, internet_site, site",181436401,Entertainment website,14165680,505,False,False,True,True,4067,247920.0,145.3333333,22202.75,128.9718333,11.17746958,76943,747.0833333,99906.0,-0.104556961
733,Crcxl-WoToS,GraphImage,iranintltv,11175,268,2 people,car,road,No Object,No Object,No Object,"web_site, website, internet_site, site",5496840166,TV channel,9754044,69,False,True,True,True,30035,635571.5,2754.5,82102.33333,143.9759167,0.272741153,77579,383.4166667,14975.08333,0.020381944
734,CrcnycZNcCk,GraphImage,iranintltv,28804,1058,No Object,No Object,No Object,No Object,No Object,No Object,stethoscope,5496840166,TV channel,9754044,69,False,True,True,True,30035,635571.5,2754.5,82102.33333,143.9759167,0.272741153,77579,383.4166667,14975.08333,0.020381944
735,CrZB2atO2b9,GraphSidecar,fashionbombdaily,280,12,1 person,headscarf,stripes,No Object,No Object,No Object,maillot,7197775,Entertainment website,2153799,4568,False,True,True,True,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
736,Crc7Y-eubOc,GraphSidecar,fashionbombdaily,342,21,3 people,jacket,No Object,No Object,No Object,No Object,"television, television_system",7197775,Entertainment website,2153799,4568,False,True,True,True,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
737,Crc6iR1OPIU,GraphSidecar,fashionbombdaily,162,13,2 people,gown,dinner jacket,dress,carpet,text,"suit, suit_of_clothes",7197775,Entertainment website,2153799,4568,False,True,True,True,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
738,Crc4eyUOGqN,GraphSidecar,fashionbombdaily,460,22,2 people,sneakers,No Object,No Object,No Object,No Object,"lab_coat, laboratory_coat",7197775,Entertainment website,2153799,4568,False,True,True,True,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
739,Crc27KVOM9Y,GraphImage,fashionbombdaily,1348,20,4 people,people playing basketball,No Object,No Object,No Object,No Object,basketball,7197775,Entertainment website,2153799,4568,False,True,True,True,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
740,CrckegQOHv6,GraphImage,fashionbombdaily,95,12,1 person,makeup,jumpsuit,gown,No Object,No Object,"pajama, pyjama, pj's, jammies",7197775,Entertainment website,2153799,4568,False,True,True,True,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
741,CrcR2dXube0,GraphSidecar,fashionbombdaily,1106,40,2 people,dinner jacket,dress,wedding,No Object,No Object,"groom, bridegroom",7197775,Entertainment website,2153799,4568,False,True,True,True,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
742,CrbrSC0uXTf,GraphSidecar,fashionbombdaily,1183,50,1 person,makeup,carpet,dress,text,No Object,"web_site, website, internet_site, site",7197775,Entertainment website,2153799,4568,False,True,True,True,4071,14802.08333,33.91666667,786.25,178.1861667,6.091316467,79076,30.58333333,734.25,-0.093466849
743,CrcOLYVs9FI,GraphImage,eldiario,434,11,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",1080979607,Media/news company,3434812,366,False,True,True,True,13268,300181.75,267.8333333,8174.333333,49.49533333,19.65073776,73586,42.75,1749.833333,0.024123594
744,CrcIureRCJS,GraphImage,eldiario,54,3,5 people,crowd,No Object,No Object,No Object,No Object,street_sign,1080979607,Media/news company,3434812,366,False,True,True,True,13268,300181.75,267.8333333,8174.333333,49.49533333,19.65073776,73586,42.75,1749.833333,0.024123594
745,CrcB7hxMwKQ,GraphSidecar,eldiario,78,5,map,text,No Object,No Object,No Object,No Object,iPod,1080979607,Media/news company,3434812,366,False,True,True,True,13268,300181.75,267.8333333,8174.333333,49.49533333,19.65073776,73586,42.75,1749.833333,0.024123594
746,CrbzfxxBMWL,GraphImage,eldiario,1581,94,insect,text,No Object,No Object,No Object,No Object,"ant, emmet, pismire",1080979607,Media/news company,3434812,366,False,True,True,True,13268,300181.75,267.8333333,8174.333333,49.49533333,19.65073776,73586,42.75,1749.833333,0.024123594
747,CrbichYR1dw,GraphImage,eldiario,1470,16,1 person,makeup,turtleneck,dress,No Object,No Object,"maillot, tank_suit",1080979607,Media/news company,3434812,366,False,True,True,True,13268,300181.75,267.8333333,8174.333333,49.49533333,19.65073776,73586,42.75,1749.833333,0.024123594
748,Crc4fAqMMIo,GraphImage,arab2turk,1653,160,1 person,outdoors,No Object,No Object,No Object,No Object,rugby_ball,3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
749,CrczsCBMW8d,GraphImage,arab2turk,895,63,television,screen,poster,text,No Object,No Object,"web_site, website, internet_site, site",3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
750,Crbvc1pMZrk,GraphImage,arab2turk,12154,215,2 people,people smiling,parka,snow,No Object,No Object,sleeping_bag,3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
751,Crbf5rasR5J,GraphSidecar,arab2turk,3179,263,1 person,makeup,hair,No Object,No Object,No Object,trench_coat,3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
752,Crbecz4s-MG,GraphSidecar,arab2turk,2701,73,1 person,hair,top,No Object,No Object,No Object,wig,3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
753,Crbb564sWvM,GraphImage,arab2turk,2544,102,3 people,beard,suit,carpet,dinner jacket,blazer,"suit, suit_of_clothes",3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
754,CrbbyBHMPfA,GraphImage,arab2turk,2742,98,2 people,people st,ing and carpet,No Object,No Object,No Object,carton,3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
755,CrbYVzrMe1w,GraphImage,arab2turk,3458,146,2 people,people smiling,people kissing,No Object,No Object,No Object,wig,3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
756,CrbWNzLMHOr,GraphSidecar,arab2turk,5526,109,1 person,smiling,people kissing,No Object,No Object,No Object,"television, television_system",3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
757,CrbQttdM47V,GraphImage,arab2turk,3420,104,1 person,beard,makeup,suit,blazer,dinner jacket,"suit, suit_of_clothes",3105020224,Art,531281,8,False,True,True,False,8662,54468.33333,306.3333333,5885.916667,46.27191667,0.373287037,73094,117.0,3301.583333,0.061633019
758,Crc4nO3Nhcf,GraphImage,albayannews,39,14,2 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",352978341,News & media website,396651,35,False,True,True,True,24827,5035.75,20.5,262.6666667,66.15041667,2.461147982,70455,15.75,118.75,0.077740078
759,Crcu2YWJGoL,GraphImage,albayannews,61,19,1 person,pie,text,No Object,No Object,No Object,"web_site, website, internet_site, site",352978341,News & media website,396651,35,False,True,True,True,24827,5035.75,20.5,262.6666667,66.15041667,2.461147982,70455,15.75,118.75,0.077740078
760,Crcp-T4I9xg,GraphImage,albayannews,61,7,tower,outdoors,No Object,No Object,No Object,No Object,"seashore, coast, seacoast, sea-coast",352978341,News & media website,396651,35,False,True,True,True,24827,5035.75,20.5,262.6666667,66.15041667,2.461147982,70455,15.75,118.75,0.077740078
761,Crbtooth7xU,GraphImage,albayannews,124,19,aircraft,text,No Object,No Object,No Object,No Object,airliner,352978341,News & media website,396651,35,False,True,True,True,24827,5035.75,20.5,262.6666667,66.15041667,2.461147982,70455,15.75,118.75,0.077740078
762,CrbWDneJsQ7,GraphImage,albayannews,136,17,aircraft,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",352978341,News & media website,396651,35,False,True,True,True,24827,5035.75,20.5,262.6666667,66.15041667,2.461147982,70455,15.75,118.75,0.077740078
763,Cra_Lzbp3t7,GraphImage,albayannews,107,3,1 person,pie,text,No Object,No Object,No Object,"web_site, website, internet_site, site",352978341,News & media website,396651,35,False,True,True,True,24827,5035.75,20.5,262.6666667,66.15041667,2.461147982,70455,15.75,118.75,0.077740078
764,CraywGOJR7D,GraphImage,albayannews,165,37,pie,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",352978341,News & media website,396651,35,False,True,True,True,24827,5035.75,20.5,262.6666667,66.15041667,2.461147982,70455,15.75,118.75,0.077740078
765,Crc5UzDuWGL,GraphImage,vladtv,74,20,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
766,Crc4ENeuU-Y,GraphImage,vladtv,78,15,1 person,playing football,football helmet,text,No Object,No Object,football_helmet,30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
767,Crc2zsQOKwY,GraphImage,vladtv,74,14,1 person,magazine,text,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
768,Crb3wAfO42w,GraphImage,vladtv,421,72,2 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
769,Crb1Wu8MX3A,GraphImage,vladtv,108,68,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
770,Crbvn83OVix,GraphImage,vladtv,107,51,5 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
771,CrbsiPEOagd,GraphImage,vladtv,93,46,1 person,text,No Object,No Object,No Object,No Object,comic_book,30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
772,CrbowemO2N9,GraphImage,vladtv,34,27,1 person,magazine,text,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
773,CrblqsEOclQ,GraphImage,vladtv,36,42,2 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
774,Crbj51qL0zC,GraphImage,vladtv,310,35,4 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
775,CrbjzH1BBWV,GraphImage,vladtv,313,43,1 person,magazine,text,No Object,No Object,No Object,"web_site, website, internet_site, site",30804427,Video creator,958124,51,False,True,True,True,8946,79907.41667,437.5833333,5485.5,208.4931667,22.9131188,69497,62.08333333,297.25,0.047182373
776,CrdEH_WrnBU,GraphSidecar,coppamagz,1652,2,7 people,poster,text,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
777,CrdDQY3rp1k,GraphImage,coppamagz,11509,80,3 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
778,Crc71gQLerP,GraphSidecar,coppamagz,108537,1569,2 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
779,Crc0YLArfDs,GraphSidecar,coppamagz,78063,693,2 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
780,Crcs9MpLpON,GraphSidecar,coppamagz,6228,5,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
781,Crcnj0QLN2K,GraphImage,coppamagz,13326,42,2 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
782,Crcil7Xry1f,GraphSidecar,coppamagz,4173,6,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
783,CrcieNOL7FW,GraphSidecar,coppamagz,3191,4,7 people,text,No Object,No Object,No Object,No Object,"balance_beam, beam",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
784,CrcczuFrcCp,GraphImage,coppamagz,8618,25,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
785,CrcbhkirH_a,GraphImage,coppamagz,14786,176,10 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
786,CrcZJczLgLu,GraphImage,coppamagz,67036,535,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
787,CrcUGnHLBFK,GraphSidecar,coppamagz,7132,11,2 people,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",3540949711,Media/news company,1425351,70,False,False,True,False,5197,57470.08333,36.5,9322.75,2547.778083,11.66656572,69253,262.3333333,27020.91667,0.026491153
788,CraJbU4sinT,GraphImage,crictracker,44227,104,12 people,text,No Object,No Object,No Object,No Object,menu,2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
789,Cq0XjflLjA-,GraphImage,crictracker,328659,658,2 people,people playing cricket,text,No Object,No Object,No Object,ski,2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
790,CrdFJfSp5Hk,GraphImage,crictracker,809,19,1 person,playing cricket,text,No Object,No Object,No Object,"ballplayer, baseball_player",2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
791,CrdDilANL5o,GraphImage,crictracker,7658,48,1 person,playing cricket,text,No Object,No Object,No Object,comic_book,2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
792,CrdAJWCJBKl,GraphImage,crictracker,6452,56,1 person,playing cricket,No Object,No Object,No Object,No Object,football_helmet,2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
793,Crc8dQ_NGfN,GraphImage,crictracker,10229,61,2 people,people playing cricket,stadium,text,No Object,No Object,"web_site, website, internet_site, site",2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
794,Crc5py3vVkA,GraphImage,crictracker,10875,48,1 person,playing cricket,text,No Object,No Object,No Object,"web_site, website, internet_site, site",2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
795,Crc3hOjtksc,GraphImage,crictracker,78400,156,1 person,beard,playing cricket,text,No Object,No Object,"web_site, website, internet_site, site",2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
796,Crc0KCCLwfT,GraphImage,crictracker,46172,89,1 person,beard,poster,text,No Object,No Object,"sax, saxophone",2116932867,Video creator,2490423,838,True,False,True,True,3339,63752.58333,60.33333333,18981.16667,81.47466667,0.732575892,76292,125.9166667,56806.16667,-0.796604498
797,CrZ--xeLqyC,GraphImage,dagelan,257462,4997,2 people,banana,sugarcane,plant,text,No Object,"web_site, website, internet_site, site",367005646,Arts & entertainment,21830404,639,True,False,True,True,9939,1204215.833,2107.833333,56114.91667,74.48583333,2.456118633,56829,1409.333333,88699.83333,0.090073743
798,CrKXvewpK8j,GraphImage,dagelan,122037,1117,blanket,sarong,shawl,text,No Object,No Object,"quilt, comforter, comfort, puff",367005646,Arts & entertainment,21830404,639,True,False,True,True,9939,1204215.833,2107.833333,56114.91667,74.48583333,2.456118633,56829,1409.333333,88699.83333,0.090073743
799,Crawo4NrEHZ,GraphImage,dagelan,45115,2077,1 person,text,No Object,No Object,No Object,No Object,"web_site, website, internet_site, site",367005646,Arts & entertainment,21830404,639,True,False,True,True,9939,1204215.833,2107.833333,56114.91667,74.48583333,2.456118633,56829,1409.333333,88699.83333,0.090073743
